21:33:30  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'hud.text' using real height 25 pixels.  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  675
21:33:30  |  Core  |  Warning  |  ResourceTrueTypeFont: Property 'Distance' in font 'hud.times' is deprecated; value ignored.  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  237
21:33:30  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'hud.times' using texture size 512 x 512.  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  674
21:33:30  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'hud.times' using real height 30 pixels.  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  675
21:33:30  |  Core  |  Warning  |  ResourceTrueTypeFont: Property 'SpaceWidth' in font 'hud.replay' is deprecated; remove it to use automatic calculation.  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  230
21:33:30  |  Core  |  Warning  |  ResourceTrueTypeFont: Property 'Distance' in font 'hud.replay' is deprecated; value ignored.  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  237
21:33:30  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'hud.replay' using texture size 64 x 128.  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  674
21:33:30  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'hud.replay' using real height 27 pixels.  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  675
21:33:30  |  Core  |  Info  |  Load ini file 'core_images.xml'  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  130
21:33:30  |  Core  |  Info  |  Load ini file 'core_commonskins.xml'  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  130
21:33:30  |  Core  |  Info  |  Load ini file 'core_blackbluetheme.xml'  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  130
21:33:30  |  Core  |  Info  |  Load ini file 'core_blackblueimages.xml'  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  130
21:33:30  |  Core  |  Info  |  Load ini file 'core_blackblueskins.xml'  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  130
21:33:30  |  Core  |  Info  |  Load ini file 'core_blackbluetemplates.xml'  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  130
21:33:30  |  Core  |  Info  |  Load ini file 'core_pointers.xml'  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  130
21:33:30  |  Core  |  Info  |  Load ini file 'core_layers.xml'  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  130
21:33:30  |  Core  |  Info  |  Load ini file 'core_language.xml'  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  130
21:33:30  |  Core  |  Info  |  Load ini file 'core_settings.xml'  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  130
21:33:30  |  Core  |  Info  |  Load ini file 'MessageBoxIcons.xml'  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  130
21:33:30  |  Core  |  Error  |  Texture 'LoadingTex' not found  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_TextureUtility.cpp  |  54
21:33:30  |  Core  |  Warning  |  : Property 'Distance' in font 'font.small' is deprecated; value ignored.  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  237
21:33:30  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'font.small' using texture size 256 x 256.  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  674
21:33:30  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'font.small' using real height 18 pixels.  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  675
21:33:30  |  Core  |  Warning  |  : Property 'Distance' in font 'font.normal' is deprecated; value ignored.  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  237
21:33:30  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'font.normal' using texture size 256 x 256.  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  674
21:33:30  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'font.normal' using real height 21 pixels.  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  675
21:33:30  |  Core  |  Warning  |  : Property 'Distance' in font 'font.big' is deprecated; value ignored.  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  237
21:33:30  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'font.big' using texture size 256 x 512.  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  674
21:33:30  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'font.big' using real height 23 pixels.  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  675
21:33:31  |  Core  |  Warning  |  Widget property 'ReadOnly' not found [Game.layout]  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_Widget.cpp  |  1178
21:33:31  |  Core  |  Warning  |  Widget property 'MultiLine' not found [Game.layout]  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_Widget.cpp  |  1178
